title,bag_of_words
7:19,7:19 jorgemichelgrau demiánbichirhéctorbonillaoscarserrano dramas international movies trappedsurvivorsrescueddevastatingearthquakehitsmexicocitystayalivelifewaittryingdesperatelywalks  
23:59,23:59 gilbertchan teddchanstellachunghenleyhii horror movies international movies confrontforcedfounddeadfellowsoldiersarmyrecruithauntingjungleislandtrainingcampterrifyingsecret  
9,9 shaneacker elijahwoodjohnc.reillyjenniferconnelly action & adventure independent movies sci-fi & fantasy dangerousmachinesexterminatepostapocalypticworldgroupdollrobotshideragbravenewcomerjoinsfear  
21,21 robertluketic jimsturgesskevinspaceykatebosworth dramas brilliantgrouplasvegascasinosswindlingmillionsintentplayingblackjackcountingexpertsstudentsbecomecard  
46,46 serdarakar erdalbeşikçioğluyaseminallenmelisbirkan international tv shows tv dramas tv mysteries comatosesistertreatmentgeneticsprofessorexperimentsshockingsideeffectblendsmedicalunlocksshamaniccures  
122,122 yasiralyasiri aminakhalilahmeddawoodtareklotfy horror movies international movies mustfindseparateddeathfindsawfulaccidentescape—coupleadmittedgrislyhospital  
187,187 kevinreynolds samuell.jacksonjohnheardkellyrowan dramas newyorkcityschoolsystemteachonemustthinkingdedicatedteachertrevorgarfieldgrowswearyhighstudentsattackscalifornialesshostileenvironmentmovesgangwarfare  
706,706 shravankumar divyaduttaatulkulkarnimohanagashe horror movies international movies psychicpatientbizarremedicalconditiondoctorgoesmissingknowsmuchpsychiatristwifetreatsleading  
1920,1920 vikrambhatt rajneeshduggaladahsharmaindraneilsengupta horror movies international movies thrillers stopslatedcastlewifemoverenovationdeterminedsomethinginsidebecomearchitectluxuryhotel  
1922,1922 zakhilditch thomasjanemollyparkerdylanschmid dramas thrillers beginningmurderbasednovellaconfessionadmittingwifefarmerpensstephenkingmacabretaledeath  
"2,215","2,215 nottaponboonprakob artiwarakongmalai documentaries international movies sports movies 20172historic215kilometercharityrunacrossthailandintimatedocumentaryfollowsrockstarartiwarakongmalai  "
